title,Name,provider,runtime
100 nights of hero,100 nights of hero,theaters,
10dance,10dance,netflix,126.0
am i ok?,am i ok?,netflix,86.0
bewitched,,rent,102.0
black swan,black swan,hulu,109.0
booksmart,booksmart,rent,102.0
bram stoker's dracula,bram stoker's dracula,netflix,127.0
breakfast at tiffany's,breakfast at tiffany's,paramount,115.0
bridget jones's diary,bridget jones's diary,tubi/pluto/free stream,97.0
charlie's angels,charlie's angels,rent,98.0
"crazy, stupid, love.","crazy, stupid, love.",rent,118.0
dan in real life,dan in real life,rent,98.0
did you hear about the morgans?,did you hear about the morgans?,netflix,103.0
drop dead gorgeous,drop dead gorgeous,tubi/pluto/free stream,98.0
eddington,eddington,hbo max,148.0
erin brockovich,erin brockovich,netflix,131.0
eternity,eternity,rent,114.0
f1,f1,rent,156.0
fantastic mr. fox,fantastic mr. fox,rent,87.0
fight club,fight club,rent,139.0
four weddings and a funeral,four weddings and a funeral,prime,117.0
"girl, interrupted","girl, interrupted",tubi/pluto/free stream,127.0
hamnet,hamnet,theaters,125.0
handmaiden,,rent,145.0
holland,holland,prime,108.0
i used to be funny,i used to be funny,netflix,105.0
i want your sex,i want your sex,theaters,
ingrid goes west,ingrid goes west,tubi/pluto/free stream,97.0
interstellar,interstellar,paramount,169.0
interview with the vampire,interview with the vampire,rent,123.0
killers of the flower moon,killers of the flower moon,rent,206.0
marcel the shell with shoes on,marcel the shell with shoes on,rent,90.0
marty supreme,marty supreme,theaters,153.0
maurice,maurice,rent,140.0
me before you,me before you,tubi/pluto/free stream,110.0
moonrise kingdom,,netflix,94.0
okja,okja,netflix,120.0
only lovers left alive,only lovers left alive,tubi/pluto/free stream,123.0
only you,only you,rent,115.0
panic room,panic room,rent,112.0
perks of being a wallflower,,hbo max,103.0
"planes, trains and automobiles","planes, trains and automobiles",paramount,93.0
queer,queer,hbo max,137.0
reality bites,reality bites,rent,99.0
scooby doo and the witches ghost,,rent,77.0
sentimental value,sentimental value,rent,135.0
slap her... she's french,slap her... she's french,rent,88.0
sleepless in seattle,,rent,105.0
spree,spree,tubi/pluto/free stream,93.0
the beguiled,the beguiled,rent,94.0
the drama,the drama,theaters,
the favourite,the favourite,rent,120.0
the gallerist,the gallerist,theaters,
the girl next door,the girl next door,prime,110.0
the history of sound,the history of sound,rent,128.0
the lighthouse,the lighthouse,hbo max,110.0
the moment,the moment,theaters,
the secret agent,the secret agent,theaters,
the truman show,the truman show,tubi/pluto/free stream,103.0
the virgin suicides,the virgin suicides,rent,97.0
theater camp,theater camp,rent,93.0
two weeks notice,,rent,101.0
tár,tár,peacock,158.0
uncut gems,uncut gems,hbo max,135.0
we live in time,we live in time,hbo max,108.0
whiplash,whiplash,rent,107.0
wolfwalkers,wolfwalkers,rent,103.0
“wuthering heights”,“wuthering heights”,theaters,
,blackkklansman,,
,catch me if you can,,
,chestnut,,
,clementine,,
,coda,,
,crimson peak,,
,d.e.b.s.,,
,dracula,,
,fargo,,
,girlfriends,,
,good time,,
,green book,,
,happy-go-lucky,,
,imagine me & you,,
,midnight in paris,,
,multiplicity,,
,no other choice,,
,rye lane,,
,seven veils,,
,spoiler alert,,
,taxi driver,,
,the first time,,
,the handmaiden,,
,the holdovers,,
,the perks of being a wallflower,,
,the shape of water,,
,this is my life,,
