title,provider,runtime,last updated
100 nights of hero,theaters,,
10dance,netflix,126.0,1/27/2026
am i ok?,netflix,86.0,
bewitched,rent,102.0,1/27/2026
black swan,hulu,109.0,
booksmart,rent,102.0,1/27/2026
bram stoker's dracula,netflix,127.0,1/27/2026
breakfast at tiffany's,paramount,115.0,1/27/2026
bridget jones's diary,tubi/pluto/free stream,97.0,1/27/2026
charlie's angels,rent,98.0,1/27/2026
"crazy, stupid, love.",rent,118.0,1/27/2026
dan in real life,rent,98.0,1/27/2026
did you hear about the morgans?,netflix,103.0,1/27/2026
drop dead gorgeous,tubi/pluto/free stream,98.0,
eddington,hbo max,148.0,1/27/2026
erin brockovich,netflix,131.0,1/27/2026
eternity,rent,114.0,
f1,rent,156.0,
fantastic mr. fox,rent,87.0,1/27/2026
fight club,rent,139.0,1/27/2026
four weddings and a funeral,prime,117.0,1/27/2026
"girl, interrupted",tubi/pluto/free stream,127.0,1/27/2026
hamnet,theaters,125.0,1/27/2026
handmaiden,rent,145.0,
holland,prime,108.0,
i used to be funny,netflix,105.0,1/27/2026
i want your sex,theaters,,
ingrid goes west,tubi/pluto/free stream,97.0,
interstellar,paramount,169.0,1/27/2026
interview with the vampire,rent,123.0,1/27/2026
killers of the flower moon,rent,206.0,1/27/2026
marcel the shell with shoes on,rent,90.0,
marty supreme,theaters,153.0,1/27/2026
maurice,rent,140.0,1/27/2026
me before you,tubi/pluto/free stream,110.0,1/27/2026
moonrise kingdom,netflix,94.0,1/27/2026
okja,netflix,120.0,1/27/2026
only lovers left alive,tubi/pluto/free stream,123.0,
only you,rent,115.0,
panic room,rent,112.0,
perks of being a wallflower,hbo max,103.0,
"planes, trains and automobiles",paramount,93.0,1/27/2026
queer,hbo max,137.0,1/27/2026
reality bites,rent,99.0,1/27/2026
scooby doo and the witches ghost,rent,77.0,1/27/2026
sentimental value,rent,135.0,
slap her... she's french,rent,88.0,1/27/2026
sleepless in seattle,rent,105.0,1/27/2026
spree,tubi/pluto/free stream,93.0,1/27/2026
the beguiled,rent,94.0,
the drama,theaters,,1/27/2026
the favourite,rent,120.0,
the gallerist,theaters,,
the girl next door,prime,110.0,1/27/2026
the history of sound,rent,128.0,
the lighthouse,hbo max,110.0,
the moment,theaters,,
the secret agent,theaters,,
the truman show,tubi/pluto/free stream,103.0,1/27/2026
the virgin suicides,rent,97.0,1/27/2026
theater camp,rent,93.0,1/27/2026
two weeks notice,rent,101.0,1/27/2026
tár,peacock,158.0,1/27/2026
uncut gems,hbo max,135.0,1/27/2026
we live in time,hbo max,108.0,1/27/2026
whiplash,rent,107.0,
wolfwalkers,rent,103.0,1/27/2026
“wuthering heights”,theaters,,1/27/2026
